dataset,method,repetition,repetition_name,idx,AP50_class1,mAP_class1,average_AP50,average_mAP,AP50_class2,mAP_class2,AP50_class3,mAP_class3,AP50_class4,mAP_class4,AP50_class5,mAP_class5,AP50_class6,mAP_class6
conic,nnunet,2,2,glas_18,0.0,0.0,0.2892346978187561,0.19066405296325684,0.4217686951160431,0.24595710635185242,0.5333333611488342,0.42121511697769165,0.0,0.0,,,0.4910714328289032,0.2861480414867401
conic,nnunet,2,2,glas_29,0.0,0.0,0.47877636551856995,0.3222412168979645,0.5009784698486328,0.27134793996810913,0.7348242998123169,0.5723599791526794,0.6377952694892883,0.4994264543056488,0.375,0.164166659116745,0.6240601539611816,0.42614611983299255
conic,nnunet,2,2,glas_32,0.0,0.0,0.3841160237789154,0.2648399770259857,0.5048543810844421,0.3215412497520447,0.7164179086685181,0.5547119379043579,0.41747573018074036,0.31585896015167236,0.1034482792019844,0.04303300008177757,0.5625,0.3538946807384491
conic,nnunet,2,2,glas_41,,,0.4169994592666626,0.2881993055343628,0.25090909004211426,0.15447263419628143,0.7894737124443054,0.5805081129074097,0.0,0.0,,,0.6276150345802307,0.4178164601325989
conic,nnunet,2,2,glas_45,0.0,0.0,0.3484192192554474,0.22615604102611542,0.4032476246356964,0.21601755917072296,0.6360601186752319,0.4612933099269867,0.17777778208255768,0.13113506138324738,0.4000000059604645,0.2618909776210785,0.47342994809150696,0.2865992486476898
conic,nnunet,2,2,glas_46,,,0.2982504367828369,0.19578880071640015,0.18715596199035645,0.10545660555362701,0.6398104429244995,0.49217772483825684,0.15000000596046448,0.1340692639350891,0.0,0.0,0.5142857432365417,0.24724042415618896
conic,nnunet,2,2,glas_51,0.0,0.0,0.26428988575935364,0.17190329730510712,0.24637681245803833,0.13002952933311462,0.7037037014961243,0.5220353603363037,0.0,0.0,0.0,0.0,0.6356589198112488,0.379354864358902
conic,nnunet,2,2,glas_59,0.0,0.0,0.24719814956188202,0.15501494705677032,0.276729553937912,0.13903231918811798,0.4736842215061188,0.36531805992126465,0.0,0.0,,,0.48557692766189575,0.2707243859767914
conic,nnunet,2,2,glas_60,0.0,0.0,0.2993132472038269,0.18983519077301025,0.3110846281051636,0.16823574900627136,0.5585585832595825,0.3811408281326294,0.13333334028720856,0.08375000208616257,,,0.49358972907066345,0.31604936718940735
conic,nnunet,2,2,consep_3,0.0,0.0,0.3043668866157532,0.18388672173023224,,,0.7083333134651184,0.45754894614219666,0.260869562625885,0.17083954811096191,0.0,0.0,0.5526315569877625,0.29104503989219666
conic,nnunet,2,2,consep_6,,,0.39793476462364197,0.22877299785614014,0.4356435537338257,0.2476767599582672,0.54347825050354,0.3128013014793396,0.5909090638160706,0.31611061096191406,0.0,0.0,0.4196428656578064,0.26727625727653503
conic,nnunet,2,2,consep_9,0.5,0.37857142090797424,0.2921568751335144,0.18632298707962036,,,0.23529411852359772,0.13245098292827606,0.0,0.0,,,0.4333333373069763,0.23426957428455353
conic,nnunet,2,2,consep_10,,,0.5426268577575684,0.35143470764160156,0.27723971009254456,0.14574354887008667,0.6551724076271057,0.4229845106601715,0.6666666865348816,0.46666669845581055,,,0.5714285969734192,0.3703440725803375
conic,nnunet,2,2,pannuke_2,,,0.2738502323627472,0.1739683747291565,0.449438214302063,0.2640802562236786,0.21739129722118378,0.16755852103233337,0.0,0.0,,,0.4285714328289032,0.264234721660614
conic,nnunet,2,2,pannuke_11,,,0.7114608287811279,0.47898897528648376,,,0.6666666865348816,0.4796079695224762,0.6842105388641357,0.4692232012748718,,,0.7835051417350769,0.4881356358528137
conic,nnunet,2,2,pannuke_13,,,0.32552313804626465,0.1771639883518219,0.27210885286331177,0.11415845155715942,0.4264705777168274,0.25836336612701416,0.3448275923728943,0.19333870708942413,0.1818181872367859,0.12575757503509521,0.4023904502391815,0.19420190155506134
conic,nnunet,2,2,pannuke_15,0.0,0.0,0.302952378988266,0.17119716107845306,0.44049733877182007,0.23964834213256836,0.40112993121147156,0.2184082269668579,0.550000011920929,0.3046509325504303,0.0,0.0,0.426086962223053,0.2644754648208618
conic,nnunet,2,2,pannuke_20,1.0,0.699999988079071,0.7329545617103577,0.41876474022865295,,,0.75,0.39252138137817383,1.0,0.4899999499320984,,,0.1818181872367859,0.0925375446677208
conic,nnunet,2,2,crag_2,,,0.5610641241073608,0.36227548122406006,0.5131502151489258,0.3094746172428131,0.7237569093704224,0.5332244634628296,0.46190476417541504,0.3604128956794739,0.5,0.20000000298023224,0.6065088510513306,0.40826550126075745
conic,nnunet,2,2,crag_19,0.0,0.0,0.4842163324356079,0.32153651118278503,0.3998703956604004,0.21060530841350555,0.6631097793579102,0.4927322268486023,0.6203703880310059,0.462223619222641,0.6052631735801697,0.33756154775619507,0.6166842579841614,0.4260962903499603
conic,nnunet,2,2,crag_22,0.19117647409439087,0.10292074829339981,0.2954261600971222,0.18833887577056885,0.5083135366439819,0.3026617169380188,0.5971564054489136,0.4193209707736969,0.043478261679410934,0.03913043439388275,0.0,0.0,0.4324324429035187,0.26599937677383423
conic,nnunet,2,2,crag_25,,,0.5481107831001282,0.36182302236557007,0.39557400345802307,0.20275506377220154,0.5185185074806213,0.38278311491012573,1.0,0.699999988079071,,,0.27835050225257874,0.16175393760204315
conic,nnunet,2,2,crag_27,0.0,0.0,0.4301309883594513,0.2882515490055084,0.5518169403076172,0.3059699535369873,0.44842106103897095,0.3322376608848572,0.5157384872436523,0.3884429335594177,0.4117647111415863,0.27462238073349,0.6530448794364929,0.42823633551597595
conic,nnunet,2,2,crag_30,0.20000000298023224,0.1583823710680008,0.4374965727329254,0.3095461428165436,0.6215226650238037,0.3931736648082733,0.5617367625236511,0.4113326966762543,0.5139573216438293,0.3852677345275879,0.1428571492433548,0.12857143580913544,0.5849056839942932,0.38054901361465454
conic,nnunet,2,2,crag_33,0.0,0.0,0.23053555190563202,0.14694958925247192,0.23561036586761475,0.1209152489900589,0.5378788113594055,0.36568787693977356,0.0833333358168602,0.06666667014360428,0.0,0.0,0.5263908505439758,0.3284277319908142
conic,nnunet,2,2,crag_44,0.1818181872367859,0.10213965177536011,0.33591464161872864,0.21963989734649658,0.47119465470314026,0.2707372307777405,0.43518519401550293,0.3221360445022583,0.3857142925262451,0.28589606285095215,0.0,0.0,0.5415754914283752,0.3369303345680237
conic,nnunet,2,2,crag_48,0.24390244483947754,0.12867221236228943,0.4695824086666107,0.274970144033432,0.463878333568573,0.25272735953330994,0.6465753316879272,0.44342440366744995,0.21739129722118378,0.16591382026672363,0.6000000238418579,0.24857144057750702,0.6457473039627075,0.41051173210144043
conic,nnunet,2,2,crag_54,0.0,0.0,0.15014687180519104,0.09545931220054626,0.4576523005962372,0.2805691957473755,0.10294117778539658,0.07651729136705399,0.0,0.0,,,0.19014084339141846,0.12021007388830185
