idx,dataset,method,repetition,repetition_name,mean_average_precision,average_precision_at_iou_50,expert_min,expert_mean,expert_max,expert_comparison
1418,PV_in_HC,nnunet,2,2,0.6960511,0.9189189,0.6315997242927551,0.7157982587814331,0.788036048412323,in expert range
1418,PV_in_HC,nnunet,3,3,0.69450134,0.9189189,0.6315997242927551,0.7157982587814331,0.788036048412323,in expert range
1444,PV_in_HC,nnunet,1,1,0.7565503,0.95238096,0.5321488976478577,0.7330443859100342,0.8920634388923645,in expert range
1444,PV_in_HC,nnunet,2,2,0.7565503,0.95238096,0.5321488976478577,0.7330443859100342,0.8920634388923645,in expert range
1444,PV_in_HC,nnunet,3,3,0.7540503,0.95238096,0.5321488976478577,0.7330443859100342,0.8920634388923645,in expert range
1582,PV_in_HC,nnunet,1,1,0.7291158,0.9583333,0.6227884888648987,0.696508276462555,0.7572388052940369,in expert range
1582,PV_in_HC,nnunet,2,2,0.7358109,0.9583333,0.6227884888648987,0.696508276462555,0.7572388052940369,in expert range
1582,PV_in_HC,nnunet,3,3,0.7174342,0.9583333,0.6227884888648987,0.696508276462555,0.7572388052940369,in expert range
1599,PV_in_HC,nnunet,1,1,0.65065217,0.8095238,0.6471375226974487,0.6920498967170715,0.7567505836486816,in expert range
1599,PV_in_HC,nnunet,2,2,0.6157038,0.77272725,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1599,PV_in_HC,nnunet,3,3,0.64376813,0.8095238,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1237,PV_in_HC,deepflash2_random,1,1,0.64305556,0.8333333,0.5625,0.7901984214782715,0.9428571462631226,in expert range
1237,PV_in_HC,deepflash2_random,2,2,0.61686504,0.8333333,0.5625,0.7901984214782715,0.9428571462631226,in expert range
1237,PV_in_HC,deepflash2_random,3,3,0.64305556,0.8333333,0.5625,0.7901984214782715,0.9428571462631226,in expert range
1283,PV_in_HC,deepflash2_random,1,1,0.27714568,0.375,0.3907308280467987,0.5018249750137329,0.6097727417945862,below worst expert
1283,PV_in_HC,deepflash2_random,2,2,0.255301,0.3529412,0.3907308280467987,0.5018249750137329,0.6097727417945862,below worst expert
1283,PV_in_HC,deepflash2_random,3,3,0.3057423,0.42857143,0.3907308280467987,0.5018249750137329,0.6097727417945862,below worst expert
1377,PV_in_HC,deepflash2_random,1,1,0.5492586,0.82857144,0.5100749731063843,0.6450718998908996,0.7491787075996399,in expert range
1377,PV_in_HC,deepflash2_random,2,2,0.5769663,0.85294116,0.5100749731063843,0.6450718998908996,0.7491787075996399,in expert range
1377,PV_in_HC,deepflash2_random,3,3,0.588209,0.88235295,0.5100749731063843,0.6450718998908996,0.7491787075996399,in expert range
1385,PV_in_HC,deepflash2_random,1,1,0.675,0.75,0.6166666746139526,0.7913333296775817,0.9199999570846558,in expert range
