method,file,subset,exp,dice_score,mean_average_precision,average_precision_at_iou_50,dataset
STAPLE_revised,1418_mask.png,test,3,0.917719995184784,0.7183434367179871,0.9230769276618958,PV_in_HC
STAPLE_revised,1418_mask.png,test,4,0.9131721121687677,0.702221691608429,0.9444444179534912,PV_in_HC
STAPLE_revised,1418_mask.png,test,5,0.9431300776716364,0.7387903928756714,0.9722222089767456,PV_in_HC
STAPLE_revised,1444_mask.png,test,1,0.961905286950769,0.8920634388923645,1.0,PV_in_HC
STAPLE_revised,1444_mask.png,test,2,0.9014513965117696,0.6404262781143188,1.0,PV_in_HC
STAPLE_revised,1444_mask.png,test,3,0.8639385912752041,0.5321488976478577,0.6785714030265808,PV_in_HC
STAPLE_revised,1444_mask.png,test,4,0.9416632670901568,0.7861751317977905,1.0,PV_in_HC
STAPLE_revised,1444_mask.png,test,5,0.944541867601929,0.8144081830978394,1.0,PV_in_HC
STAPLE_revised,1582_mask.png,test,1,0.8808637683530326,0.6227884888648987,0.75,PV_in_HC
STAPLE_revised,1582_mask.png,test,2,0.8842785477425389,0.637362539768219,0.875,PV_in_HC
STAPLE_revised,1582_mask.png,test,3,0.9179827573052568,0.7220577597618103,0.8888888955116272,PV_in_HC
STAPLE_revised,1582_mask.png,test,4,0.9365288595965647,0.7430937886238098,0.9583333134651184,PV_in_HC
STAPLE_revised,1582_mask.png,test,5,0.9410504571362993,0.7572388052940369,0.9200000166893005,PV_in_HC
STAPLE_revised,1599_mask.png,test,1,0.9258862650059179,0.7233553528785706,0.949999988079071,PV_in_HC
STAPLE_revised,1599_mask.png,test,2,0.8918500892325997,0.6471375226974487,0.8999999761581421,PV_in_HC
STAPLE_revised,1599_mask.png,test,3,0.9277765655684049,0.7567505836486816,0.9523809552192688,PV_in_HC
STAPLE_revised,1599_mask.png,test,4,0.9286926994906621,0.6614559888839722,0.8500000238418579,PV_in_HC
STAPLE_revised,1599_mask.png,test,5,0.9348621348621349,0.6715500354766846,0.949999988079071,PV_in_HC
STAPLE,0001_mask.png,train,1,0.8569724086502609,0.5467396974563599,0.807692289352417,PV_in_HC
STAPLE,0001_mask.png,train,2,0.8810382842252956,0.5523620843887329,0.9599999785423279,PV_in_HC
STAPLE,0001_mask.png,train,3,0.9398150257414917,0.7986723184585571,0.9230769276618958,PV_in_HC
STAPLE,0001_mask.png,train,4,0.8783546526210183,0.5917345881462097,0.8799999952316284,PV_in_HC
STAPLE,0001_mask.png,train,5,0.8807667477777227,0.5781919360160828,0.9583333134651184,PV_in_HC
STAPLE,0004_mask.png,train,1,0.8326395312981807,0.43535834550857544,0.7058823704719543,PV_in_HC
STAPLE,0004_mask.png,train,2,0.853686261773303,0.4131975769996643,0.7142857313156128,PV_in_HC
STAPLE,0004_mask.png,train,3,0.890965521894609,0.5584770441055298,0.7749999761581421,PV_in_HC
STAPLE,0004_mask.png,train,4,0.883179012345679,0.5283108949661255,0.8181818127632141,PV_in_HC
STAPLE,0004_mask.png,train,5,0.8428385877907663,0.47259634733200073,0.78125,PV_in_HC
STAPLE,0006_mask.png,train,1,0.6782608695652175,0.45333337783813477,0.6000000238418579,PV_in_HC
STAPLE,0006_mask.png,train,2,0.7713950762016413,0.5425000190734863,0.800000011920929,PV_in_HC
STAPLE,0006_mask.png,train,3,0.9092258224091022,0.696825385093689,1.0,PV_in_HC
STAPLE,0006_mask.png,train,4,0.7559101654846336,0.46857142448425293,0.800000011920929,PV_in_HC
STAPLE,0006_mask.png,train,5,0.9120654396728016,0.6916667222976685,1.0,PV_in_HC
STAPLE,0007_mask.png,train,1,0.79268693894816,0.399335116147995,0.6333333253860474,PV_in_HC
STAPLE,0007_mask.png,train,2,0.8288357748650733,0.44063282012939453,0.8928571343421936,PV_in_HC
