dataset,method,comparison,repetition_a,repetition_a_name,repetition_b,repetition_b_name,idx,threshold,average_precision
PV_in_HC,cellpose_single,0,1,1,2,2,1599,0.95,0.75
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.5,0.9705882
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.55,0.9705882
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.6,0.9705882
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.65,0.9705882
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.7,0.9705882
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.75,0.9705882
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.8,0.9705882
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.85,0.9705882
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.8999999999999999,0.9142857
PV_in_HC,cellpose_single,0,1,1,2,2,1418,0.95,0.63414633
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.5,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.55,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.6,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.65,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.7,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.75,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.8,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.85,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.8999999999999999,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1385,0.95,0.2
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.5,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.55,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.6,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.65,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.7,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.75,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.8,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.85,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.8999999999999999,0.6666667
PV_in_HC,cellpose_single,0,1,1,2,2,1237,0.95,0.6666667
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.5,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.55,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.6,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.65,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.7,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.75,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.8,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.85,1.0
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.8999999999999999,0.5555556
PV_in_HC,cellpose_single,0,1,1,2,2,1283,0.95,0.4
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.5,0.8076923
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.55,0.8076923
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.6,0.8076923
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.65,0.8076923
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.7,0.7407407
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.75,0.7407407
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.8,0.6785714
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.85,0.62068963
PV_in_HC,cellpose_single,0,1,1,2,2,1377,0.8999999999999999,0.56666666
