dataset,method,comparison,repetition_a,repetition_a_name,repetition_b,repetition_b_name,idx,dice_score
cFOS_in_HC,unet_2019,1,1,1,3,3,1444,0.8941377347751849
cFOS_in_HC,unet_2019,1,1,1,3,3,1283,0.9380973868810765
cFOS_in_HC,unet_2019,1,1,1,3,3,1385,0.9331007281553397
cFOS_in_HC,unet_2019,1,1,1,3,3,1582,0.8968681428286455
cFOS_in_HC,unet_2019,1,1,1,3,3,1237,0.9135320424053938
cFOS_in_HC,unet_2019,2,2,2,3,3,1377,0.8839112880924728
cFOS_in_HC,unet_2019,2,2,2,3,3,1608,0.9372550289916102
cFOS_in_HC,unet_2019,2,2,2,3,3,1418,0.8688317830679488
cFOS_in_HC,unet_2019,2,2,2,3,3,1599,0.8558614935335835
cFOS_in_HC,unet_2019,2,2,2,3,3,1444,0.8453873352619737
cFOS_in_HC,unet_2019,2,2,2,3,3,1283,0.9229148227757408
cFOS_in_HC,unet_2019,2,2,2,3,3,1385,0.9377982943431658
cFOS_in_HC,unet_2019,2,2,2,3,3,1582,0.8738690792974987
cFOS_in_HC,unet_2019,2,2,2,3,3,1237,0.9186101184878691
cFOS_in_HC,nnunet,0,1,1,2,2,1377,0.9575605155611443
cFOS_in_HC,nnunet,0,1,1,2,2,1608,0.9723932152361495
cFOS_in_HC,nnunet,0,1,1,2,2,1418,0.9430925836160932
cFOS_in_HC,nnunet,0,1,1,2,2,1599,0.9484536082474228
cFOS_in_HC,nnunet,0,1,1,2,2,1444,0.9296693060083838
cFOS_in_HC,nnunet,0,1,1,2,2,1283,0.977899180531413
cFOS_in_HC,nnunet,0,1,1,2,2,1385,0.9815038572358026
cFOS_in_HC,nnunet,0,1,1,2,2,1582,0.9299488390397482
cFOS_in_HC,nnunet,0,1,1,2,2,1237,0.946815955213436
cFOS_in_HC,nnunet,1,1,1,3,3,1377,0.9718499519076628
cFOS_in_HC,nnunet,1,1,1,3,3,1608,0.9617064608623415
cFOS_in_HC,nnunet,1,1,1,3,3,1418,0.9355362429567377
cFOS_in_HC,nnunet,1,1,1,3,3,1599,0.9498393872003954
cFOS_in_HC,nnunet,1,1,1,3,3,1444,0.9239029809294574
cFOS_in_HC,nnunet,1,1,1,3,3,1283,0.9785463013427141
cFOS_in_HC,nnunet,1,1,1,3,3,1385,0.9816624778925812
cFOS_in_HC,nnunet,1,1,1,3,3,1582,0.951599045346062
cFOS_in_HC,nnunet,1,1,1,3,3,1237,0.9580853488666582
cFOS_in_HC,nnunet,2,2,2,3,3,1377,0.9484730426039965
cFOS_in_HC,nnunet,2,2,2,3,3,1608,0.9605559729526671
cFOS_in_HC,nnunet,2,2,2,3,3,1418,0.9513471603023842
cFOS_in_HC,nnunet,2,2,2,3,3,1599,0.9605875152998776
cFOS_in_HC,nnunet,2,2,2,3,3,1444,0.9237029501525941
cFOS_in_HC,nnunet,2,2,2,3,3,1283,0.9821990558615264
cFOS_in_HC,nnunet,2,2,2,3,3,1385,0.9792833146696528
cFOS_in_HC,nnunet,2,2,2,3,3,1582,0.9413120737681299
cFOS_in_HC,nnunet,2,2,2,3,3,1237,0.9491140677217984
cFOS_in_HC,deepflash2,0,1,1,2,2,1599,0.9796514896008994
cFOS_in_HC,deepflash2,0,1,1,2,2,1582,0.9808695652173912
cFOS_in_HC,deepflash2,0,1,1,2,2,1237,0.9752447663774576
cFOS_in_HC,deepflash2,0,1,1,2,2,1283,0.9874849686010778
cFOS_in_HC,deepflash2,0,1,1,2,2,1444,0.965902555254293
cFOS_in_HC,deepflash2,0,1,1,2,2,1377,0.953370534282599
cFOS_in_HC,deepflash2,0,1,1,2,2,1385,0.9839172389811354
cFOS_in_HC,deepflash2,0,1,1,2,2,1418,0.9663555036950603
cFOS_in_HC,deepflash2,1,1,1,3,3,1599,0.9822909661510872
cFOS_in_HC,deepflash2,1,1,1,3,3,1582,0.9819511619676772
cFOS_in_HC,deepflash2,1,1,1,3,3,1237,0.9793956043956044
cFOS_in_HC,deepflash2,1,1,1,3,3,1283,0.9893560404470464
cFOS_in_HC,deepflash2,1,1,1,3,3,1444,0.9712941939669153
cFOS_in_HC,deepflash2,1,1,1,3,3,1377,0.9658978907944017
cFOS_in_HC,deepflash2,1,1,1,3,3,1385,0.9872523686477175
cFOS_in_HC,deepflash2,1,1,1,3,3,1418,0.9699596178469418
cFOS_in_HC,deepflash2,2,2,2,3,3,1599,0.9763440860215054
cFOS_in_HC,deepflash2,2,2,2,3,3,1582,0.9740472293663783
cFOS_in_HC,deepflash2,2,2,2,3,3,1237,0.9809956675437896
cFOS_in_HC,deepflash2,2,2,2,3,3,1283,0.9852308511110125
cFOS_in_HC,deepflash2,2,2,2,3,3,1444,0.9641427754635302
cFOS_in_HC,deepflash2,2,2,2,3,3,1377,0.9603847614226048
cFOS_in_HC,deepflash2,2,2,2,3,3,1385,0.9794787427482899
cFOS_in_HC,deepflash2,2,2,2,3,3,1418,0.9779718583212034
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2359,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2364,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2363,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2368,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2354,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2365,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2366,1.0
mScarlet_in_PAG,cellpose,0,1,cyto2,2,cyto2,2355,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2359,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2364,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2363,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2368,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2354,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2365,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2366,1.0
mScarlet_in_PAG,cellpose,1,1,cyto2,3,cyto2,2355,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2359,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2364,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2363,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2368,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2354,1.0
mScarlet_in_PAG,cellpose,2,2,cyto2,3,cyto2,2365,1.0
